	screen name	stream time (hours)	average viewers
0	xQcOW	215670	32913
1	Gaules	515595	12254
2	summit1g	216000	25931
3	ESL_CSGO	517965	9249
4	NICKMERCS	131880	29183
5	Fextralife	161595	19768
6	loltyler1	131115	25985
7	Rubius	63285	49771
8	Tfue	130680	25269
9	auronplay	47385	64477
10	TimTheTatman	106455	29316
11	LIRIK	131895	23015
12	Anomaly	88800	13014
13	Asmongold	72000	38534
14	Riot Games (riotgames)	78330	20015
15	ibai	78180	30604
16	sodapoppin	129120	18880
17	alanzoka	106035	21517
18	LCK_Korea	49470	45406
19	풍월량 (hanryang1125)	176520	12944
20	TheGrefg	66375	30996
21	CohhCarnage	184125	11553
22	GamesDoneQuick	88905	7953
23	MontanaBlack88	59640	31881
24	LEC	57570	28581
25	Castro_1021	102990	17420
26	TheRealKnossi	57780	25673
27	csgomc_ru	110205	17276
28	LCS	36630	48240
29	HasanAbi	207825	8537
30	Lord_Kebun	150630	11794
31	YoDa	144000	12984
32	Dota2RuHub	127470	12778
33	Pestily	139680	9380
34	DrLupo	172710	9421
35	OgamingLoL	495930	3455
36	dota2mc_ru	85260	17534
37	RocketLeague	38955	40369
38	한동숙 (handongsuk)	134355	12407
39	ROSHTEIN	132390	11907
40	MOONMOON	122955	11698
41	Evelone192	74055	19614
42	DrDisrespect	59415	25075
43	Solary	490035	3222
44	Clix	92610	16331
45	nl_Kripp	158730	9430
46	Fresh	139350	10355
47	Gotaga	134535	10775
48	Myth	129465	9645
49	Trymacs	117105	11708
50	LCK	36885	38446
51	BeyondTheSummit	505170	2765
52	TFBlade	136875	9139
53	Sardoche	164850	8048
54	RiotGamesBrazil	38145	29278
55	NoWay4u_Sir	146415	8809
56	Quin69	170370	7609
57	Trainwreckstv	156225	8448
58	Gorgc	143715	8951
59	sneakylol	202605	6637
60	juansguarnizo	134535	9203
61	Symfuhny	146700	8317
62	fps_shaka	218085	5969
63	Yassuo	102990	9913
64	Bugha	99795	12702
65	dasMEHDI	243660	5193
66	AdmiralBahroo	141990	8544
67	LVPes	92250	14637
68	JLTomy	115560	10489
69	Mizkif	126465	9034
70	NOBRU	53745	22113
71	ONSCREEN	138450	4366
72	서새봄냥 (saddummy)	184335	6380
73	SilverName	99810	11605
74	SolaryFortnite	382200	2959
75	forsen	109575	10371
76	Papaplatte	115290	9633
77	stylishnoob4	123420	8942
78	pokimane	57900	18184
79	Swagg	128550	7820
80	Baiano	100080	10118
81	WePlayEsport_EN	130470	7883
82	NickEh30	118080	9297
83	Cellbit	104025	10704
84	GRONKH	55740	18217
85	LVNDMARK	240660	4188
86	Vader	189150	5462
87	buster	58770	17262
88	Maximilian_DOOD	107985	9564
89	Sacriel	162090	5911
90	ZeratoR	81990	11127
91	Stray228	99915	10186
92	AdmiralBulldog	158055	6307
93	lestream	243465	4023
94	Rainbow6	93105	10933
95	elded	112785	8654
96	괴물쥐123 (tmxk319)	125010	7439
97	Rakin	162570	5355
98	Nightblue3	125325	7317
99	shroud	29385	33016
100	ybicanoooobov	118785	7825
101	Reborn_Live	49620	18207
102	benjyfishy	44370	18462
103	SypherPK	140565	6167
104	LPL	48060	18738
105	Elraenn	53925	15394
106	TeePee	175185	4807
107	DreamHackCS	236535	5957
108	cloakzy	109290	7506
109	dakotaz	133755	6343
110	uzra	204630	3897
111	aceu	120120	7099
112	ESL_DOTA2	238215	4991
113	SolaryHS	467310	1791
114	Agraelus	168105	4998
115	Scarra	136335	5829
116	SmiteGame	358965	2235
117	Brunenger	197010	4546
118	WePlayEsport_RU	79515	9538
119	Elajjaz	148785	5185
120	allkeyshop_tv	486105	1550
121	Hiko	90420	7376
122	따효니 (ddahyoni)	148710	4838
123	GMHikaru	87945	7767
124	ElmiilloR	131565	5338
125	蝦愛橘子 (shuteye_orange)	313590	2324
126	x2Twins	136440	4884
127	bratishkinoff	61125	11651
128	EsfandTV	186975	3793
129	BLASTPremier	23820	25165
130	POW3Rtv	184740	3732
131	ZanoXVII	98280	6996
132	Method	220770	3433
133	coscu	80520	10202
134	MYM_ALKAPONE	105510	6645
135	Thijs	102675	6832
136	ludwig	94680	7239
137	녹두로 (nokduro)	146820	4844
138	우왁굳 (woowakgood)	159255	4387
139	Domingo	66375	11789
140	침착맨 (zilioner)	96825	6709
141	Jinnytty	154950	4307
142	KendineMuzisyen	63270	10654
143	jukes	83175	8233
144	Kamet0	134535	5036
145	Destiny	164370	3994
146	RATIRL	141675	4658
147	FolagorLives	100665	5733
148	Locklear	109725	5816
149	Insomniac	298365	2197
150	Xayoo_	92850	6825
151	老皮 (mobilmobil)	120270	5497
152	TSM_ImperialHal	134625	4583
153	HusKerrs	120015	4731
154	scump	84915	7175
155	木棉花官方頻道 (muse_tw)	514515	1232
156	餐餐自由配 (blusewilly_retry)	101490	6022
157	RatedEpicz	178650	3552
158	김진우 (jinu6734)	124695	4810
159	Amouranth	230955	2666
160	ClassyBeef	288570	2072
161	Kitboga	77865	7458
162	Squeezie	29955	18578
163	Yogscast	420825	1360
164	wtcN	81045	7580
165	DreadzTV	109695	5436
166	sfory	81645	2858
167	CDNThe3rd	126465	4391
168	SkipNhOLIVE	513075	1188
169	Giantwaffle	165675	3447
170	IzakOOO	122295	3907
171	Greekgodx	101415	6714
172	Jahrein	64515	9253
173	UberHaxorNova	179655	3287
174	dogdog	104505	5637
175	SkipNhO	140145	4051
176	Shlorox	116010	5089
177	39daph	132180	4591
178	김도 (kimdoe)	136875	4423
179	DansGaming	175515	3295
180	JohnPitterTV	513765	1164
181	CasinoDaddy	282135	2129
182	Anton	141555	3339
183	imaqtpie	166200	3497
184	EWROON	101535	5848
185	imls	82005	6950
186	chocoTaco	158025	3771
187	Mathil1	136080	4069
188	Klean	176775	2961
189	RduLIVE	132600	4255
190	H2P_Gucio	158415	3560
191	울프 (lol_woolf)	51180	10413
192	Amar	94770	5697
193	Sykkuno	99675	4996
194	lilypichu	56100	9928
