	followers gained	views gained
0	2051895	109735389
1	1141123	112807468
2	1402547	91501875
3	870484	126008641
4	1337535	49164651
5	437036	684835748
6	1066209	59364698
7	4309441	74460362
8	2023733	70427346
9	4681567	57146179
10	1550318	53274797
11	235124	52941891
12	1488662	36126098
13	440141	44506116
14	618212	52358442
15	2759124	73557439
16	229564	37078409
17	1625893	53496103
18	294841	86113714
19	85565	35408484
20	3856926	58501479
21	124993	39733008
22	159613	48902643
23	1050148	31640377
24	678235	33667372
25	561599	21819604
26	896361	25386456
27	568052	61473607
28	584326	34436876
29	412336	18227628
30	117346	18751266
31	391238	41453195
32	153189	54775894
33	535435	26178177
34	670108	53052150
35	128514	73896080
36	182629	45284706
37	748181	66605475
38	57794	32067736
39	196735	19208404
40	108655	13414755
41	852054	51061880
42	706324	35821742
43	132278	48006035
44	1999135	41301739
45	80057	19985911
46	2003384	27634158
47	642102	38144839
48	1485006	37816021
49	629535	24145208
50	333520	30585704
51	122182	43245988
52	386116	34676796
53	358708	31610989
54	347030	32291480
55	105032	23064820
56	88568	18793772
57	527575	16740656
58	130889	21690094
59	185016	19642877
60	1404053	20537643
61	873003	21029134
62	150361	24170255
63	645178	33225959
64	2237716	41899403
65	79905	8040233
66	59128	12509922
67	186991	55915235
68	267438	14159808
69	433604	15786687
70	1943023	9411974
71	665997	23672027
72	76123	30650033
73	114376	29971648
74	442544	25684560
75	208026	18692569
76	548266	23684348
77	137430	23128684
78	2446961	50816541
79	918077	11629854
80	398093	24527153
81	185925	25920348
82	1338057	34060717
83	872495	23577921
84	194430	15712347
85	290372	12607606
86	37665	10532035
87	1218452	45259796
88	133745	15617768
89	137608	65440868
90	229741	29664080
91	202534	25279536
92	66160	17307045
93	116281	28411733
94	402542	16250621
95	1324745	17681921
96	376260	20044617
97	556755	27610178
98	150542	20389295
99	1282146	31271621
100	97459	16098707
101	926671	17319227
102	1882387	31865799
103	1133652	23413102
104	301490	33202930
105	804651	24523338
106	256066	18111438
107	223896	24193613
108	599978	15442421
109	515928	16988217
110	33564	21214248
111	832985	19434055
112	119411	23820488
113	33607	10920969
114	143967	22328241
115	351394	15832006
116	91055	11762152
117	821696	18441675
118	220655	25973366
119	36374	14184358
120	28879	55118276
121	593329	16667621
122	46122	17514757
123	472976	28880311
124	203498	21960904
125	25906	18028790
126	1276052	19407713
127	479796	28955062
128	191291	15411645
129	293579	19837553
130	490009	24393197
131	390309	7015568
132	71597	17306032
133	1285160	22695224
134	186429	9804347
135	40976	15019769
136	630255	11818352
137	120792	12462207
138	211046	19959602
139	251667	22967987
140	125202	21701815
141	233702	16256814
142	555300	21017083
143	376093	21108143
144	232045	15135286
145	117751	8772608
146	229907	14195441
147	451988	12727219
148	449198	18215192
149	342468	92465761
150	229425	14149023
151	32781	20723504
152	359071	12297555
153	398739	9457245
154	358315	10679420
155	85597	13707851
156	40604	19041428
157	66220	7767629
158	86845	10602339
159	242878	48051640
160	76538	7190328
161	303949	8002741
162	828877	18227591
163	98486	20149298
164	595978	27989257
165	40954	27407075
166	440927	12899395
167	105957	14782862
168	263575	6672028
169	12517	10168598
170	276949	19803818
171	418283	13427255
172	250905	19271531
173	63241	6917033
174	29221	12750103
175	309540	15008051
176	63544	11459311
177	456783	10556135
178	133724	15418162
179	26337	17554072
180	225288	27661148
181	35095	7447373
182	125085	6297413
183	59428	12893551
184	265135	14976002
185	206927	10972897
186	228030	22581039
187	66566	13812575
188	156747	8440360
189	60494	8122838
190	68121	13443643
191	134813	10257458
192	339036	13742248
193	731547	11255390
194	795880	19844935
195	201273	83136633
196	18098	19304172
197	1003271	10780646
198	714171	11389526
199	48375	18126872
200	464629	7621795
201	24427	46613923
202	304771	18595712
203	17585	20050973
204	82430	5829499
205	196494	7069134
206	753319	77377713
207	821235	30123805
208	227005	7596479
209	541203	11313155
210	90839	9947339
211	98506	9734705
212	87428	6147685
213	103568	15896844
214	51435	8576568
215	214015	8668239
216	90117	14606797
217	136906	9743702
218	774441	13296707
219	271504	12710687
220	136518	12995051
221	142321	6497184
222	64861	7591184
223	47974	15478590
224	53748	18859848
225	106219	23086165
226	48638	11733061
227	492919	9199623
228	139681	13494305
229	45387	11736941
230	14120	13966704
231	95325	7228778
232	132914	8298324
233	206365	7160879
234	214997	14011149
235	66300	7012610
236	158641	10010349
237	48977	14665290
238	28277	12127688
239	98895	11722387
240	1593353	19704569
241	333225	10270882
242	1224029	17525109
243	187509	8010045
244	114330	21006921
245	55952	18221711
246	261994	11033860
247	33844	33874603
248	211840	11013666
249	49244	5113892
250	285161	8317007
251	369119	22191613
252	224697	8916993
253	382392	10092731
254	44845	12347960
255	124049	11294616
256	86407	15214714
257	237935	16832920
258	132211	13140524
259	521960	11351604
260	295658	7253802
261	131105	6370777
262	217227	14229432
263	270339	11764214
264	243018	8536645
265	142075	8703317
