	screen name	followers gained	views gained
0	xQcOW	2051895	109735389
1	Gaules	1141123	112807468
2	summit1g	1402547	91501875
3	ESL_CSGO	870484	126008641
4	NICKMERCS	1337535	49164651
5	Fextralife	437036	684835748
6	loltyler1	1066209	59364698
7	Rubius	4309441	74460362
8	Tfue	2023733	70427346
9	auronplay	4681567	57146179
10	TimTheTatman	1550318	53274797
11	LIRIK	235124	52941891
12	Anomaly	1488662	36126098
13	Asmongold	440141	44506116
14	Riot Games (riotgames)	618212	52358442
15	ibai	2759124	73557439
16	sodapoppin	229564	37078409
17	alanzoka	1625893	53496103
18	LCK_Korea	294841	86113714
19	풍월량 (hanryang1125)	85565	35408484
20	TheGrefg	3856926	58501479
21	CohhCarnage	124993	39733008
22	GamesDoneQuick	159613	48902643
23	MontanaBlack88	1050148	31640377
24	LEC	678235	33667372
25	Castro_1021	561599	21819604
26	TheRealKnossi	896361	25386456
27	csgomc_ru	568052	61473607
28	LCS	584326	34436876
29	HasanAbi	412336	18227628
30	Lord_Kebun	117346	18751266
31	YoDa	391238	41453195
32	Dota2RuHub	153189	54775894
33	Pestily	535435	26178177
34	DrLupo	670108	53052150
35	OgamingLoL	128514	73896080
36	dota2mc_ru	182629	45284706
37	RocketLeague	748181	66605475
38	한동숙 (handongsuk)	57794	32067736
39	ROSHTEIN	196735	19208404
40	MOONMOON	108655	13414755
41	Evelone192	852054	51061880
42	DrDisrespect	706324	35821742
43	Solary	132278	48006035
44	Clix	1999135	41301739
45	nl_Kripp	80057	19985911
46	Fresh	2003384	27634158
47	Gotaga	642102	38144839
48	Myth	1485006	37816021
49	Trymacs	629535	24145208
50	LCK	333520	30585704
51	BeyondTheSummit	122182	43245988
52	TFBlade	386116	34676796
53	Sardoche	358708	31610989
54	RiotGamesBrazil	347030	32291480
55	NoWay4u_Sir	105032	23064820
56	Quin69	88568	18793772
57	Trainwreckstv	527575	16740656
58	Gorgc	130889	21690094
59	sneakylol	185016	19642877
60	juansguarnizo	1404053	20537643
61	Symfuhny	873003	21029134
62	fps_shaka	150361	24170255
63	Yassuo	645178	33225959
64	Bugha	2237716	41899403
65	dasMEHDI	79905	8040233
66	AdmiralBahroo	59128	12509922
67	LVPes	186991	55915235
68	JLTomy	267438	14159808
69	Mizkif	433604	15786687
70	NOBRU	1943023	9411974
71	ONSCREEN	665997	23672027
72	서새봄냥 (saddummy)	76123	30650033
73	SilverName	114376	29971648
74	SolaryFortnite	442544	25684560
75	forsen	208026	18692569
76	Papaplatte	548266	23684348
77	stylishnoob4	137430	23128684
78	pokimane	2446961	50816541
79	Swagg	918077	11629854
